name,full_name,short_name,
王鹏,宁德时代新能源科技股份有限公司,宁德时代,
李全坤,宁德时代新能源科技股份有限公司,宁德时代,
邓平华,宁德时代新能源科技股份有限公司,宁德时代,
姚己华,宁德时代新能源科技股份有限公司,宁德时代,
唐彬,南昌欧菲光科技有限公司,南昌欧菲光科技,
谭志成,比亚迪股份有限公司,比亚迪,
马林,宁德时代新能源科技股份有限公司,宁德时代,
邢承友,宁德时代新能源科技股份有限公司,宁德时代,
郑于炼,宁德时代新能源科技股份有限公司,宁德时代,
吕伟,深圳劲嘉集团股份有限公司,劲嘉股份,
黄奕宏,深圳市深科达智能装备股份有限公司,深科达,
朱涛声,宁德时代新能源科技股份有限公司,宁德时代,
肖勇,深圳市奋达科技股份有限公司,奋达科技股份,
尹国伟,深圳市深科达智能装备股份有限公司,深科达,
金海族,宁德时代新能源科技股份有限公司,宁德时代,
尹荣造,伯朗特机器人股份有限公司,伯朗特,
周灵刚,宁德时代新能源科技股份有限公司,宁德时代,
朱燕,比亚迪股份有限公司,比亚迪,
但志敏,宁德时代新能源科技股份有限公司,宁德时代,
王超,比亚迪股份有限公司,比亚迪,
曾浩,比亚迪股份有限公司,比亚迪,
王平,美格智能技术股份有限公司,美格智能,
唐彬,欧菲光集团股份有限公司,欧菲光,
熊晓峰,顺丰控股股份有限公司,顺丰控股,
陈臻,顺丰控股股份有限公司,顺丰控股,
雷鹏涛,顺丰控股股份有限公司,顺丰控股,
韩宁宁,深圳市深科达智能装备股份有限公司,深科达,
高祐奭,LG电子株式会社,LG Electronics,
洪性龙,LG电子株式会社,LG Electronics,
梁成都,宁德时代新能源科技股份有限公司,宁德时代,
秦超,深圳市深科达智能装备股份有限公司,深科达,
杨杰,深圳市深科达智能装备股份有限公司,深科达,
庄庆波,深圳市深科达智能装备股份有限公司,深科达,
唐根初,欧菲光集团股份有限公司,欧菲光,
刘伟,欧菲光集团股份有限公司,欧菲光,
郭志君,宁德时代新能源科技股份有限公司,宁德时代,
陈锦杰,深圳市深科达智能装备股份有限公司,深科达,
林宰显,LG电子株式会社,LG Electronics,
朴胜煜,LG电子株式会社,LG Electronics,
全勇俊,LG电子株式会社,LG Electronics,
全柄文,LG电子株式会社,LG Electronics,
朴俊永,LG电子株式会社,LG Electronics,
李承旻,LG电子株式会社,LG Electronics,
梁锡喆,LG电子株式会社,LG Electronics,
孙建宇,山东新北洋信息技术股份有限公司,新北洋,
郑圣勋,LG电子株式会社,LG Electronics,
李英大,LG电子株式会社,LG Electronics,
李承俊,LG电子株式会社,LG Electronics,
刘梦龙,深圳市易尚展示股份有限公司,易尚展示,
王春涛,山东新北洋信息技术股份有限公司,新北洋,
丛强滋,山东新北洋信息技术股份有限公司,新北洋,
徐翰瞥,LG电子株式会社,LG Electronics,
金沂濬,LG电子株式会社,LG Electronics,
朴钟贤,LG电子株式会社,LG Electronics,
金廷宣,LG电子株式会社,LG Electronics,
金善旭,LG电子株式会社,LG Electronics,
蔡赫秦,LG电子株式会社,LG Electronics,
蔡雄宇,欧菲光集团股份有限公司,欧菲光,
周芮,欧菲光集团股份有限公司,欧菲光,
蔡如来,宁德时代新能源科技股份有限公司,宁德时代,
黄大成,LG电子株式会社,LG Electronics,
王巍,深圳市瑞凌实业股份有限公司,瑞凌股份,
吴凯,宁德时代新能源科技股份有限公司,宁德时代,
项延火,宁德时代新能源科技股份有限公司,宁德时代,
赵宾,宁德时代新能源科技股份有限公司,宁德时代,
李道林,比亚迪股份有限公司,比亚迪,
方宏新,宁德时代新能源科技股份有限公司,宁德时代,
秦峰,宁德时代新能源科技股份有限公司,宁德时代,
蒋亚兵,南昌欧菲光科技有限公司,南昌欧菲光科技,
丁国栋,南昌欧菲光科技有限公司,南昌欧菲光科技,
钱木,宁德时代新能源科技股份有限公司,宁德时代,
韩昌隆,宁德时代新能源科技股份有限公司,宁德时代,
李伟,宁德时代新能源科技股份有限公司,宁德时代,
赵丰刚,宁德时代新能源科技股份有限公司,宁德时代,
河村昌宏,出光兴产株式会社,出光兴产株式会社,
史东洋,宁德时代新能源科技股份有限公司,宁德时代,
蒋芳,南昌欧菲光科技有限公司,南昌欧菲光科技,
周维,比亚迪股份有限公司,比亚迪,
林永寿,宁德时代新能源科技股份有限公司,宁德时代,
李克强,宁德时代新能源科技股份有限公司,宁德时代,
陈兴地,宁德时代新能源科技股份有限公司,宁德时代,
朱建华,比亚迪股份有限公司,比亚迪,
尹韶文,比亚迪股份有限公司,比亚迪,
张锋斌,深圳爱克莱特科技股份有限公司,爱克股份,
侯贻真,宁德时代新能源科技股份有限公司,宁德时代,
林锋,深圳市深科达智能装备股份有限公司,深科达,
刘瑶林,深圳市深科达智能装备股份有限公司,深科达,
张上富,宁德时代新能源科技股份有限公司,宁德时代,
张伟,宁德时代新能源科技股份有限公司,宁德时代,
申成哲,江西晶浩光学有限公司,晶浩光学,
赵炳根,比亚迪股份有限公司,比亚迪,
黄起森,宁德时代新能源科技股份有限公司,宁德时代,
金哉亨,LG电子株式会社,LG Electronics,
蔡正富,艾美特电器（深圳）有限公司,艾美特电器（深圳）,
董绳财,欧菲光集团股份有限公司,欧菲光,
郑卫鑫,比亚迪股份有限公司,比亚迪,
王昕,南昌欧菲光科技有限公司,南昌欧菲光科技,
申成哲,南昌欧菲光电技术有限公司,欧菲光电技术,
王兴辉,比亚迪股份有限公司,比亚迪,
游凯杰,宁德时代新能源科技股份有限公司,宁德时代,
李洪波,北京极智嘉科技有限公司,极智嘉科技,
岩隈俊裕,出光兴产株式会社,出光兴产株式会社,
金晶,顺丰控股股份有限公司,顺丰控股,
金亨泰,LG电子株式会社,LG Electronics,
金炳勋,LG电子株式会社,LG Electronics,
石川康弘,出光兴产株式会社,出光兴产株式会社,
严义勇,深圳市易瑞生物技术股份有限公司,易瑞生物,
徐东延,LG电子株式会社,LG Electronics,
王洪军,比亚迪股份有限公司,比亚迪,
崔镇洙,LG电子株式会社,LG Electronics,
赵汉奎,LG电子株式会社,LG Electronics,
兰宾利,欧菲光集团股份有限公司,欧菲光,
李善暎,LG电子株式会社,LG Electronics,
徐人权,LG电子株式会社,LG Electronics,
松浦正英,出光兴产株式会社,出光兴产株式会社,
刘俊杰,比亚迪股份有限公司,比亚迪,
苏飞,深圳市深科达智能装备股份有限公司,深科达,
唐帅,奥迪股份公司,奥迪,
孙铎,奥迪股份公司,奥迪,
王华君,深圳市裕同包装科技股份有限公司,裕同科技,
任林,比亚迪股份有限公司,比亚迪,
金昇焕,LG电子株式会社,LG Electronics,
阳超,宁德时代新能源科技股份有限公司,宁德时代,
邓金雁,宁德时代新能源科技股份有限公司,宁德时代,
孙亚轩,比亚迪股份有限公司,比亚迪,
杨胜麟,比亚迪股份有限公司,比亚迪,
细川地潮,出光兴产株式会社,出光兴产株式会社,
刘义,深圳市易尚展示股份有限公司,易尚展示,
向荣,深圳市易尚展示股份有限公司,易尚展示,
井上一吉,出光兴产株式会社,出光兴产株式会社,
曲彤,奥迪股份公司,奥迪,
卢艳华,宁德时代新能源科技股份有限公司,宁德时代,
刘炫善,LG电子株式会社,LG Electronics,
张小文,宁德时代新能源科技股份有限公司,宁德时代,
